SnapshotID,X,Y
1,118,123
2,118,123
2,86,189
3,118,123
3,86,189
3,94,329
4,118,123
4,86,189
4,94,329
4,236,331
5,118,123
5,86,189
5,94,329
5,236,331
5,247,169
6,118,123
6,86,189
6,94,329
6,236,331
6,247,169
6,606,174
7,118,123
7,86,189
7,94,329
7,236,331
7,247,169
7,606,174
7,475,277
8,118,123
8,86,189
8,94,329
8,236,331
8,247,169
8,606,174
8,475,277
8,490,411
9,118,123
9,86,189
9,94,329
9,236,331
9,247,169
9,606,174
9,475,277
9,490,411
9,680,431
10,118,123
10,86,189
10,94,329
10,236,331
10,247,169
10,606,174
10,475,277
10,490,411
10,680,431
10,753,313
11,118,123
11,86,189
11,94,329
11,236,331
11,247,169
11,606,174
11,475,277
11,490,411
11,680,431
11,753,313
11,721,155
12,118,123
12,86,189
12,94,329
12,236,331
12,247,169
12,606,174
12,475,277
12,490,411
12,680,431
12,753,313
12,721,155
12,97,520
13,118,123
13,86,189
13,94,329
13,236,331
13,247,169
13,606,174
13,475,277
13,490,411
13,680,431
13,753,313
13,721,155
13,97,520
13,105,747
14,118,123
14,86,189
14,94,329
14,236,331
14,247,169
14,606,174
14,475,277
14,490,411
14,680,431
14,753,313
14,721,155
14,97,520
14,105,747
14,209,753
15,118,123
15,86,189
15,94,329
15,236,331
15,247,169
15,606,174
15,475,277
15,490,411
15,680,431
15,753,313
15,721,155
15,97,520
15,105,747
15,209,753
15,274,696
16,118,123
16,86,189
16,94,329
16,236,331
16,247,169
16,606,174
16,475,277
16,490,411
16,680,431
16,753,313
16,721,155
16,97,520
16,105,747
16,209,753
16,274,696
16,325,605
17,118,123
17,86,189
17,94,329
17,236,331
17,247,169
17,606,174
17,475,277
17,490,411
17,680,431
17,753,313
17,721,155
17,97,520
17,105,747
17,209,753
17,274,696
17,325,605
17,674,534
18,118,123
18,86,189
18,94,329
18,236,331
18,247,169
18,606,174
18,475,277
18,490,411
18,680,431
18,753,313
18,721,155
18,97,520
18,105,747
18,209,753
18,274,696
18,325,605
18,674,534
18,566,521
19,118,123
19,86,189
19,94,329
19,236,331
19,247,169
19,606,174
19,475,277
19,490,411
19,680,431
19,753,313
19,721,155
19,97,520
19,105,747
19,209,753
19,274,696
19,325,605
19,674,534
19,566,521
19,513,599
20,118,123
20,86,189
20,94,329
20,236,331
20,247,169
20,606,174
20,475,277
20,490,411
20,680,431
20,753,313
20,721,155
20,97,520
20,105,747
20,209,753
20,274,696
20,325,605
20,674,534
20,566,521
20,513,599
20,522,684
21,118,123
21,86,189
21,94,329
21,236,331
21,247,169
21,606,174
21,475,277
21,490,411
21,680,431
21,753,313
21,721,155
21,97,520
21,105,747
21,209,753
21,274,696
21,325,605
21,674,534
21,566,521
21,513,599
21,522,684
21,564,739
22,118,123
22,86,189
22,94,329
22,236,331
22,247,169
22,606,174
22,475,277
22,490,411
22,680,431
22,753,313
22,721,155
22,97,520
22,105,747
22,209,753
22,274,696
22,325,605
22,674,534
22,566,521
22,513,599
22,522,684
22,564,739
22,638,736
23,118,123
23,86,189
23,94,329
23,236,331
23,247,169
23,606,174
23,475,277
23,490,411
23,680,431
23,753,313
23,721,155
23,97,520
23,105,747
23,209,753
23,274,696
23,325,605
23,674,534
23,566,521
23,513,599
23,522,684
23,564,739
23,638,736
23,738,705
24,118,123
24,86,189
24,94,329
24,236,331
24,247,169
24,606,174
24,475,277
24,490,411
24,680,431
24,753,313
24,721,155
24,97,520
24,105,747
24,209,753
24,274,696
24,325,605
24,674,534
24,566,521
24,513,599
24,522,684
24,564,739
24,638,736
24,738,705
24,361,80
25,118,123
25,86,189
25,94,329
25,236,331
25,247,169
25,606,174
25,475,277
25,490,411
25,680,431
25,753,313
25,721,155
25,97,520
25,105,747
25,209,753
25,274,696
25,325,605
25,674,534
25,566,521
25,513,599
25,522,684
25,564,739
25,638,736
25,738,705
25,361,80
25,349,106
26,118,123
26,86,189
26,94,329
26,236,331
26,247,169
26,606,174
26,475,277
26,490,411
26,680,431
26,753,313
26,721,155
26,97,520
26,105,747
26,209,753
26,274,696
26,325,605
26,674,534
26,566,521
26,513,599
26,522,684
26,564,739
26,638,736
26,738,705
26,361,80
26,349,106
26,372,136
27,118,123
27,86,189
27,94,329
27,236,331
27,247,169
27,606,174
27,475,277
27,490,411
27,680,431
27,753,313
27,721,155
27,97,520
27,105,747
27,209,753
27,274,696
27,325,605
27,674,534
27,566,521
27,513,599
27,522,684
27,564,739
27,638,736
27,738,705
27,361,80
27,349,106
27,372,136
27,411,116
